sweep_run_id,timestamp,exp_id,dropout,image_aug,max_steps,ckpt_dir,run_snapshot_dir,num_trials,success_rate,train_skipped,eval_log,notes
20260522-train,2026-05-22T23:06:54+08:00,D0,0.0,True,6500,checkpoints/openvla-7b+libero_spatial_no_noops+b16+lr-0.0005+lora-r32+dropout-0.0--image_aug,experiments/runs/20260522-train/D0,50,,1,,baseline dropout0 aug on @6500
20260522-train,2026-05-23T01:30:58+08:00,D1,0.1,True,6500,checkpoints/openvla-7b+libero_spatial_no_noops+b16+lr-0.0005+lora-r32+dropout-0.1--exp-D1-drop01--image_aug,experiments/runs/20260522-train/D1,50,,0,,dropout 0.1 vs D0 @6500
20260522-train,2026-05-23T03:49:22+08:00,A-F,0.0,False,6500,checkpoints/openvla-7b+libero_spatial_no_noops+b16+lr-0.0005+lora-r32+dropout-0.0--exp-A-augF,experiments/runs/20260522-train/A-F,50,,0,,image_aug off @6500
20260522-train,2026-05-23T04:53:37+08:00,S3k,0.0,True,3000,checkpoints/openvla-7b+libero_spatial_no_noops+b16+lr-0.0005+lora-r32+dropout-0.0--exp-S3k--image_aug,experiments/runs/20260522-train/S3k,50,,0,,short train 3000 steps
20260522-train,2026-05-23T08:33:45+08:00,S10k,0.1,False,10000,checkpoints/openvla-7b+libero_spatial_no_noops+b16+lr-0.0005+lora-r32+dropout-0.1--exp-S10k,experiments/runs/20260522-train/S10k,50,,0,,long train 10000 steps dropout0.1 no aug
20260522-eval,2026-05-24T17:19:14+08:00,D0,0.0,True,6500,checkpoints/openvla-7b+libero_spatial_no_noops+b16+lr-0.0005+lora-r32+dropout-0.0--image_aug,experiments/runs/20260522-eval/D0,10,0.167,1,experiments/eval_logs/EVAL-libero_spatial-openvla-2026_05_24-16_40_01--sweep-20260522-eval-D0.txt,3 tasks x 10 trials center_crop=True
20260522-eval,2026-05-24T17:19:34+08:00,D1,0.1,True,6500,checkpoints/openvla-7b+libero_spatial_no_noops+b16+lr-0.0005+lora-r32+dropout-0.1--exp-D1-drop01--image_aug,experiments/runs/20260522-eval/D1,10,0.267,0,experiments/eval_logs/EVAL-libero_spatial-openvla-2026_05_24-17_19_34--sweep-20260522-eval-D1--exp-D1-drop01.txt,3 tasks x 10 trials center_crop=True
20260522-eval,2026-05-24T18:01:39+08:00,A-F,0.0,False,6500,checkpoints/openvla-7b+libero_spatial_no_noops+b16+lr-0.0005+lora-r32+dropout-0.0--exp-A-augF,experiments/runs/20260522-eval/A-F,10,0.500,0,experiments/eval_logs/EVAL-libero_spatial-openvla-2026_05_24-18_01_39--sweep-20260522-eval-A-F--exp-A-augF.txt,3 tasks x 10 trials center_crop=False
20260522-eval,2026-05-24T18:33:30+08:00,S3k,0.0,True,3000,checkpoints/openvla-7b+libero_spatial_no_noops+b16+lr-0.0005+lora-r32+dropout-0.0--exp-S3k--image_aug,experiments/runs/20260522-eval/S3k,10,0.000,0,experiments/eval_logs/EVAL-libero_spatial-openvla-2026_05_24-18_33_30--sweep-20260522-eval-S3k--exp-S3k.txt,3 tasks x 10 trials center_crop=True
20260522-eval,2026-05-24T19:15:22+08:00,S10k,0.1,False,10000,checkpoints/openvla-7b+libero_spatial_no_noops+b16+lr-0.0005+lora-r32+dropout-0.1--exp-S10k,experiments/runs/20260522-eval/S10k,10,0.700,0,experiments/eval_logs/EVAL-libero_spatial-openvla-2026_05_24-19_15_22--sweep-20260522-eval-S10k--exp-S10k.txt,3 tasks x 10 trials center_crop=False
20260526-200803-pi05,2026-05-26T20:12:05+08:00,pi05-libero,,,0,gs://openpi-assets/checkpoints/pi05_libero,experiments/runs/20260526-200803-pi05/pi05-libero,10,1.0,1,experiments/eval_logs/EVAL-libero_spatial-pi05-20260526-200803-pi05.txt,3 tasks x 10 trials official pi05_libero (HF mirror bf-jeon) dual-cam
